,country,state,county,city,google,apple
0,US,N/A,,N/A,1,0
1,US,Alabama,Autauga County,N/A,1,0
2,US,Alabama,Baldwin County,N/A,1,0
3,US,Alabama,Barbour County,N/A,1,0
4,US,Alabama,Bibb County,N/A,1,0
5,US,Alabama,Blount County,N/A,1,0
6,US,Alabama,Bullock County,N/A,1,0
7,US,Alabama,Butler County,N/A,1,0
8,US,Alabama,Calhoun County,N/A,1,0
9,US,Alabama,Chambers County,N/A,1,0
10,US,Alabama,Cherokee County,N/A,1,0
11,US,Alabama,Chilton County,N/A,1,0
12,US,Alabama,Choctaw County,N/A,1,0
13,US,Alabama,Clarke County,N/A,1,0
14,US,Alabama,Clay County,N/A,1,0
15,US,Alabama,Cleburne County,N/A,1,0
16,US,Alabama,Coffee County,N/A,1,0
17,US,Alabama,Colbert County,N/A,1,0
18,US,Alabama,Conecuh County,N/A,1,0
19,US,Alabama,Coosa County,N/A,1,0
20,US,Alabama,Covington County,N/A,1,0
21,US,Alabama,Crenshaw County,N/A,1,0
22,US,Alabama,Cullman County,N/A,1,0
23,US,Alabama,Dale County,N/A,1,0
24,US,Alabama,Dallas County,Dallas,1,1
25,US,Alabama,DeKalb County,N/A,1,0
26,US,Alabama,Elmore County,N/A,1,0
27,US,Alabama,Escambia County,N/A,1,0
28,US,Alabama,Etowah County,N/A,1,0
29,US,Alabama,Fayette County,Lexington,1,1
30,US,Alabama,Franklin County,Columbus,1,1
31,US,Alabama,Geneva County,N/A,1,0
32,US,Alabama,Greene County,N/A,1,0
33,US,Alabama,Hale County,N/A,1,0
34,US,Alabama,Henry County,N/A,1,0
35,US,Alabama,Houston County,N/A,1,0
36,US,Alabama,Jackson County,Kansas City,1,1
37,US,Alabama,Jefferson County,Louisville,1,1
38,US,Alabama,Lamar County,N/A,1,0
39,US,Alabama,Lauderdale County,N/A,1,0
40,US,Alabama,Lawrence County,N/A,1,0
41,US,Alabama,Lee County,N/A,1,0
42,US,Alabama,Limestone County,N/A,1,0
43,US,Alabama,Lowndes County,N/A,1,0
44,US,Alabama,Macon County,N/A,1,0
45,US,Alabama,Madison County,N/A,1,0
46,US,Alabama,Marengo County,N/A,1,0
47,US,Alabama,Marion County,Indianapolis,1,1
48,US,Alabama,Marshall County,N/A,1,0
49,US,Alabama,Mobile County,N/A,1,0
50,US,Alabama,Monroe County,Rochester,1,1
51,US,Alabama,Montgomery County,N/A,1,0
52,US,Alabama,Morgan County,N/A,1,0
53,US,Alabama,Perry County,N/A,1,0
54,US,Alabama,Pickens County,N/A,1,0
55,US,Alabama,Pike County,N/A,1,0
56,US,Alabama,Randolph County,N/A,1,0
57,US,Alabama,Russell County,N/A,1,0
58,US,Alabama,Shelby County,Memphis,1,1
59,US,Alabama,St. Clair County,N/A,1,0
60,US,Alabama,Sumter County,N/A,1,0
61,US,Alabama,Talladega County,N/A,1,0
62,US,Alabama,Tallapoosa County,N/A,1,0
63,US,Alabama,Tuscaloosa County,N/A,1,0
64,US,Alabama,Walker County,N/A,1,0
65,US,Alabama,Washington County,N/A,1,0
66,US,Alabama,Wilcox County,N/A,1,0
67,US,Alabama,Winston County,N/A,1,0
68,US,Alaska,Anchorage,N/A,1,0
69,US,Alaska,Bethel,N/A,1,0
70,US,Alaska,Fairbanks North Star,N/A,1,0
71,US,Alaska,Juneau,N/A,1,0
72,US,Alaska,Kenai Peninsula Borough,N/A,1,0
73,US,Alaska,Ketchikan Gateway,N/A,1,0
74,US,Alaska,Kodiak Island,N/A,1,0
75,US,Alaska,Matanuska-Susitna,N/A,1,0
76,US,Alaska,North Slope,N/A,1,0
77,US,Alaska,Sitka,N/A,1,0
78,US,Alaska,Southeast Fairbanks,N/A,1,0
79,US,Alaska,Valdez-Cordova,N/A,1,0
80,US,Arizona,Apache County,N/A,1,0
81,US,Arizona,Cochise County,N/A,1,0
82,US,Arizona,Coconino County,N/A,1,0
83,US,Arizona,Gila County,N/A,1,0
84,US,Arizona,Graham County,N/A,1,0
85,US,Arizona,Greenlee County,N/A,1,0
86,US,Arizona,La Paz County,N/A,1,0
87,US,Arizona,Maricopa County,Phoenix,1,1
88,US,Arizona,Mohave County,N/A,1,0
89,US,Arizona,Navajo County,N/A,1,0
90,US,Arizona,Pima County,Tucson,1,1
91,US,Arizona,Pinal County,N/A,1,0
92,US,Arizona,Santa Cruz County,N/A,1,0
93,US,Arizona,Yavapai County,N/A,1,0
94,US,Arizona,Yuma County,N/A,1,0
95,US,Arkansas,Arkansas County,N/A,1,0
96,US,Arkansas,Ashley County,N/A,1,0
97,US,Arkansas,Baxter County,N/A,1,0
98,US,Arkansas,Benton County,N/A,1,0
99,US,Arkansas,Boone County,N/A,1,0
100,US,Arkansas,Bradley County,N/A,1,0
101,US,Arkansas,Carroll County,N/A,1,0
102,US,Arkansas,Chicot County,N/A,1,0
103,US,Arkansas,Clark County,Las Vegas,1,1
104,US,Arkansas,Cleveland County,N/A,1,0
105,US,Arkansas,Columbia County,N/A,1,0
106,US,Arkansas,Conway County,N/A,1,0
107,US,Arkansas,Craighead County,N/A,1,0
108,US,Arkansas,Crawford County,N/A,1,0
109,US,Arkansas,Crittenden County,N/A,1,0
110,US,Arkansas,Cross County,N/A,1,0
111,US,Arkansas,Desha County,N/A,1,0
112,US,Arkansas,Drew County,N/A,1,0
113,US,Arkansas,Faulkner County,N/A,1,0
114,US,Arkansas,Fulton County,Atlanta,1,1
115,US,Arkansas,Garland County,N/A,1,0
116,US,Arkansas,Grant County,N/A,1,0
117,US,Arkansas,Hempstead County,N/A,1,0
118,US,Arkansas,Hot Spring County,N/A,1,0
119,US,Arkansas,Howard County,N/A,1,0
120,US,Arkansas,Independence County,N/A,1,0
121,US,Arkansas,Izard County,N/A,1,0
122,US,Arkansas,Johnson County,N/A,1,0
123,US,Arkansas,Lafayette County,N/A,1,0
124,US,Arkansas,Lincoln County,N/A,1,0
125,US,Arkansas,Little River County,N/A,1,0
126,US,Arkansas,Logan County,N/A,1,0
127,US,Arkansas,Lonoke County,N/A,1,0
128,US,Arkansas,Miller County,N/A,1,0
129,US,Arkansas,Mississippi County,N/A,1,0
130,US,Arkansas,Nevada County,N/A,1,0
131,US,Arkansas,Newton County,N/A,1,0
132,US,Arkansas,Ouachita County,N/A,1,0
133,US,Arkansas,Phillips County,N/A,1,0
134,US,Arkansas,Poinsett County,N/A,1,0
135,US,Arkansas,Polk County,N/A,1,0
136,US,Arkansas,Pope County,N/A,1,0
137,US,Arkansas,Prairie County,N/A,1,0
138,US,Arkansas,Pulaski County,N/A,1,0
139,US,Arkansas,Saline County,N/A,1,0
140,US,Arkansas,Scott County,N/A,1,0
141,US,Arkansas,Searcy County,N/A,1,0
142,US,Arkansas,Sebastian County,N/A,1,0
143,US,Arkansas,Sevier County,N/A,1,0
144,US,Arkansas,Sharp County,N/A,1,0
145,US,Arkansas,St. Francis County,N/A,1,0
146,US,Arkansas,Stone County,N/A,1,0
147,US,Arkansas,Union County,N/A,1,0
148,US,Arkansas,Van Buren County,N/A,1,0
149,US,Arkansas,White County,N/A,1,0
150,US,Arkansas,Yell County,N/A,1,0
151,US,California,Alameda County,N/A,1,0
152,US,California,Amador County,N/A,1,0
153,US,California,Butte County,N/A,1,0
154,US,California,Calaveras County,N/A,1,0
155,US,California,Colusa County,N/A,1,0
156,US,California,Contra Costa County,N/A,1,0
157,US,California,Del Norte County,N/A,1,0
158,US,California,El Dorado County,N/A,1,0
159,US,California,Fresno County,Fresno,1,1
160,US,California,Glenn County,N/A,1,0
161,US,California,Humboldt County,N/A,1,0
162,US,California,Imperial County,N/A,1,0
163,US,California,Inyo County,N/A,1,0
164,US,California,Kern County,Bakersfield,1,1
165,US,California,Kings County,N/A,1,0
166,US,California,Lake County,N/A,1,0
167,US,California,Lassen County,N/A,1,0
168,US,California,Los Angeles County,N/A,1,0
169,US,California,Madera County,N/A,1,0
170,US,California,Marin County,N/A,1,0
171,US,California,Mariposa County,N/A,1,0
172,US,California,Mendocino County,N/A,1,0
173,US,California,Merced County,N/A,1,0
174,US,California,Modoc County,N/A,1,0
175,US,California,Mono County,N/A,1,0
176,US,California,Monterey County,Monterey,1,1
177,US,California,Napa County,N/A,1,0
178,US,California,Orange County,Orlando,1,1
179,US,California,Placer County,N/A,1,0
180,US,California,Plumas County,N/A,1,0
181,US,California,Riverside County,N/A,1,0
182,US,California,Sacramento County,Sacramento,1,1
183,US,California,San Benito County,N/A,1,0
184,US,California,San Bernardino County,N/A,1,0
185,US,California,San Diego County,N/A,1,0
186,US,California,San Francisco County,N/A,1,0
187,US,California,San Joaquin County,N/A,1,0
188,US,California,San Luis Obispo County,N/A,1,0
189,US,California,San Mateo County,N/A,1,0
190,US,California,Santa Barbara County,N/A,1,0
191,US,California,Santa Clara County,N/A,1,0
192,US,California,Shasta County,N/A,1,0
193,US,California,Siskiyou County,N/A,1,0
194,US,California,Solano County,N/A,1,0
195,US,California,Sonoma County,N/A,1,0
196,US,California,Stanislaus County,Modesto,1,1
197,US,California,Sutter County,N/A,1,0
198,US,California,Tehama County,N/A,1,0
199,US,California,Trinity County,N/A,1,0
200,US,California,Tulare County,N/A,1,0
201,US,California,Tuolumne County,N/A,1,0
202,US,California,Ventura County,N/A,1,0
203,US,California,Yolo County,N/A,1,0
204,US,California,Yuba County,N/A,1,0
205,US,Colorado,Adams County,N/A,1,0
206,US,Colorado,Alamosa County,N/A,1,0
207,US,Colorado,Arapahoe County,N/A,1,0
208,US,Colorado,Archuleta County,N/A,1,0
209,US,Colorado,Bent County,N/A,1,0
210,US,Colorado,Boulder County,N/A,1,0
211,US,Colorado,Broomfield County,N/A,1,0
212,US,Colorado,Chaffee County,N/A,1,0
213,US,Colorado,Clear Creek County,N/A,1,0
214,US,Colorado,Conejos County,N/A,1,0
215,US,Colorado,Delta County,N/A,1,0
216,US,Colorado,Denver County,Denver,1,1
217,US,Colorado,Douglas County,Omaha,1,1
218,US,Colorado,Eagle County,N/A,1,0
219,US,Colorado,El Paso County,N/A,1,0
220,US,Colorado,Elbert County,N/A,1,0
221,US,Colorado,Fremont County,N/A,1,0
222,US,Colorado,Garfield County,N/A,1,0
223,US,Colorado,Gilpin County,N/A,1,0
224,US,Colorado,Grand County,N/A,1,0
225,US,Colorado,Gunnison County,N/A,1,0
226,US,Colorado,Huerfano County,N/A,1,0
227,US,Colorado,Kiowa County,N/A,1,0
228,US,Colorado,Kit Carson County,N/A,1,0
229,US,Colorado,La Plata County,N/A,1,0
230,US,Colorado,Larimer County,N/A,1,0
231,US,Colorado,Las Animas County,N/A,1,0
232,US,Colorado,Mesa County,N/A,1,0
233,US,Colorado,Moffat County,N/A,1,0
234,US,Colorado,Montezuma County,N/A,1,0
235,US,Colorado,Montrose County,N/A,1,0
236,US,Colorado,Otero County,N/A,1,0
237,US,Colorado,Ouray County,N/A,1,0
238,US,Colorado,Park County,N/A,1,0
239,US,Colorado,Pitkin County,N/A,1,0
240,US,Colorado,Prowers County,N/A,1,0
241,US,Colorado,Pueblo County,N/A,1,0
242,US,Colorado,Rio Blanco County,N/A,1,0
243,US,Colorado,Rio Grande County,N/A,1,0
244,US,Colorado,Routt County,N/A,1,0
245,US,Colorado,Saguache County,N/A,1,0
246,US,Colorado,San Miguel County,N/A,1,0
247,US,Colorado,Summit County,N/A,1,0
248,US,Colorado,Teller County,N/A,1,0
249,US,Colorado,Weld County,N/A,1,0
250,US,Connecticut,Fairfield County,Bridgeport,1,1
251,US,Connecticut,Hartford County,Hartford,1,1
252,US,Connecticut,Litchfield County,N/A,1,0
253,US,Connecticut,Middlesex County,N/A,1,0
254,US,Connecticut,New Haven County,N/A,1,0
255,US,Connecticut,New London County,N/A,1,0
256,US,Connecticut,Tolland County,N/A,1,0
257,US,Connecticut,Windham County,N/A,1,0
258,US,Delaware,Kent County,Grand Rapids,1,1
259,US,Delaware,New Castle County,N/A,1,0
260,US,Delaware,Sussex County,N/A,1,0
261,US,Florida,Alachua County,N/A,1,0
262,US,Florida,Baker County,N/A,1,0
263,US,Florida,Bay County,N/A,1,0
264,US,Florida,Bradford County,N/A,1,0
265,US,Florida,Brevard County,N/A,1,0
266,US,Florida,Broward County,N/A,1,0
267,US,Florida,Charlotte County,N/A,1,0
268,US,Florida,Citrus County,N/A,1,0
269,US,Florida,Collier County,N/A,1,0
270,US,Florida,DeSoto County,N/A,1,0
271,US,Florida,Dixie County,N/A,1,0
272,US,Florida,Duval County,Jacksonville,1,1
273,US,Florida,Flagler County,N/A,1,0
274,US,Florida,Gadsden County,N/A,1,0
275,US,Florida,Gilchrist County,N/A,1,0
276,US,Florida,Glades County,N/A,1,0
277,US,Florida,Gulf County,N/A,1,0
278,US,Florida,Hamilton County,Cincinnati,1,1
279,US,Florida,Hardee County,N/A,1,0
280,US,Florida,Hendry County,N/A,1,0
281,US,Florida,Hernando County,N/A,1,0
282,US,Florida,Highlands County,N/A,1,0
283,US,Florida,Hillsborough County,Tampa,1,1
284,US,Florida,Holmes County,N/A,1,0
285,US,Florida,Indian River County,N/A,1,0
286,US,Florida,Leon County,N/A,1,0
287,US,Florida,Levy County,N/A,1,0
288,US,Florida,Liberty County,N/A,1,0
289,US,Florida,Manatee County,N/A,1,0
290,US,Florida,Martin County,N/A,1,0
291,US,Florida,Miami-Dade County,Miami,1,1
292,US,Florida,Nassau County,N/A,1,0
293,US,Florida,Okaloosa County,N/A,1,0
294,US,Florida,Okeechobee County,N/A,1,0
295,US,Florida,Osceola County,N/A,1,0
296,US,Florida,Palm Beach County,N/A,1,0
297,US,Florida,Pasco County,N/A,1,0
298,US,Florida,Pinellas County,N/A,1,0
299,US,Florida,Putnam County,N/A,1,0
300,US,Florida,Santa Rosa County,N/A,1,0
301,US,Florida,Sarasota County,N/A,1,0
302,US,Florida,Seminole County,N/A,1,0
303,US,Florida,St. Johns County,N/A,1,0
304,US,Florida,St. Lucie County,N/A,1,0
305,US,Florida,Suwannee County,N/A,1,0
306,US,Florida,Taylor County,N/A,1,0
307,US,Florida,Volusia County,N/A,1,0
308,US,Florida,Wakulla County,N/A,1,0
309,US,Florida,Walton County,N/A,1,0
310,US,Georgia,Appling County,N/A,1,0
311,US,Georgia,Atkinson County,N/A,1,0
312,US,Georgia,Bacon County,N/A,1,0
313,US,Georgia,Banks County,N/A,1,0
314,US,Georgia,Barrow County,N/A,1,0
315,US,Georgia,Bartow County,N/A,1,0
316,US,Georgia,Ben Hill County,N/A,1,0
317,US,Georgia,Berrien County,N/A,1,0
318,US,Georgia,Bleckley County,N/A,1,0
319,US,Georgia,Brantley County,N/A,1,0
320,US,Georgia,Brooks County,N/A,1,0
321,US,Georgia,Bryan County,N/A,1,0
322,US,Georgia,Bulloch County,N/A,1,0
323,US,Georgia,Burke County,N/A,1,0
324,US,Georgia,Butts County,N/A,1,0
325,US,Georgia,Camden County,N/A,1,0
326,US,Georgia,Candler County,N/A,1,0
327,US,Georgia,Catoosa County,N/A,1,0
328,US,Georgia,Charlton County,N/A,1,0
329,US,Georgia,Chatham County,N/A,1,0
330,US,Georgia,Chattahoochee County,N/A,1,0
331,US,Georgia,Chattooga County,N/A,1,0
332,US,Georgia,Clayton County,N/A,1,0
333,US,Georgia,Clinch County,N/A,1,0
334,US,Georgia,Cobb County,N/A,1,0
335,US,Georgia,Colquitt County,N/A,1,0
336,US,Georgia,Cook County,Chicago,1,1
337,US,Georgia,Coweta County,N/A,1,0
338,US,Georgia,Crisp County,N/A,1,0
339,US,Georgia,Dade County,N/A,1,0
340,US,Georgia,Dawson County,N/A,1,0
341,US,Georgia,Decatur County,N/A,1,0
342,US,Georgia,Dodge County,N/A,1,0
343,US,Georgia,Dooly County,N/A,1,0
344,US,Georgia,Dougherty County,N/A,1,0
345,US,Georgia,Early County,N/A,1,0
346,US,Georgia,Effingham County,N/A,1,0
347,US,Georgia,Emanuel County,N/A,1,0
348,US,Georgia,Evans County,N/A,1,0
349,US,Georgia,Fannin County,N/A,1,0
350,US,Georgia,Floyd County,N/A,1,0
351,US,Georgia,Forsyth County,N/A,1,0
352,US,Georgia,Gilmer County,N/A,1,0
353,US,Georgia,Glynn County,N/A,1,0
354,US,Georgia,Gordon County,N/A,1,0
355,US,Georgia,Grady County,N/A,1,0
356,US,Georgia,Gwinnett County,N/A,1,0
357,US,Georgia,Habersham County,N/A,1,0
358,US,Georgia,Hall County,N/A,1,0
359,US,Georgia,Hancock County,N/A,1,0
360,US,Georgia,Haralson County,N/A,1,0
361,US,Georgia,Harris County,Houston,1,1
362,US,Georgia,Hart County,N/A,1,0
363,US,Georgia,Heard County,N/A,1,0
364,US,Georgia,Irwin County,N/A,1,0
365,US,Georgia,Jasper County,N/A,1,0
366,US,Georgia,Jeff Davis County,N/A,1,0
367,US,Georgia,Jenkins County,N/A,1,0
368,US,Georgia,Jones County,N/A,1,0
369,US,Georgia,Lanier County,N/A,1,0
370,US,Georgia,Laurens County,N/A,1,0
371,US,Georgia,Long County,N/A,1,0
372,US,Georgia,Lumpkin County,N/A,1,0
373,US,Georgia,McDuffie County,N/A,1,0
374,US,Georgia,McIntosh County,N/A,1,0
375,US,Georgia,Meriwether County,N/A,1,0
376,US,Georgia,Mitchell County,N/A,1,0
377,US,Georgia,Murray County,N/A,1,0
378,US,Georgia,Muscogee County,N/A,1,0
379,US,Georgia,Oconee County,N/A,1,0
380,US,Georgia,Oglethorpe County,N/A,1,0
381,US,Georgia,Paulding County,N/A,1,0
382,US,Georgia,Peach County,N/A,1,0
383,US,Georgia,Pierce County,Tacoma,1,1
384,US,Georgia,Rabun County,N/A,1,0
385,US,Georgia,Richmond County,Richmond,1,1
386,US,Georgia,Rockdale County,N/A,1,0
387,US,Georgia,Schley County,N/A,1,0
388,US,Georgia,Screven County,N/A,1,0
389,US,Georgia,Spalding County,N/A,1,0
390,US,Georgia,Stephens County,N/A,1,0
391,US,Georgia,Talbot County,N/A,1,0
392,US,Georgia,Tattnall County,N/A,1,0
393,US,Georgia,Telfair County,N/A,1,0
394,US,Georgia,Terrell County,N/A,1,0
395,US,Georgia,Thomas County,N/A,1,0
396,US,Georgia,Tift County,N/A,1,0
397,US,Georgia,Toombs County,N/A,1,0
398,US,Georgia,Towns County,N/A,1,0
399,US,Georgia,Treutlen County,N/A,1,0
400,US,Georgia,Troup County,N/A,1,0
401,US,Georgia,Turner County,N/A,1,0
402,US,Georgia,Twiggs County,N/A,1,0
403,US,Georgia,Upson County,N/A,1,0
404,US,Georgia,Ware County,N/A,1,0
405,US,Georgia,Warren County,N/A,1,0
406,US,Georgia,Wayne County,Detroit,1,1
407,US,Georgia,Whitfield County,N/A,1,0
408,US,Georgia,Wilkes County,N/A,1,0
409,US,Georgia,Wilkinson County,N/A,1,0
410,US,Georgia,Worth County,N/A,1,0
411,US,Hawaii,Hawaii County,N/A,1,0
412,US,Hawaii,Honolulu County,Honolulu,1,1
413,US,Hawaii,Kauai County,N/A,1,0
414,US,Hawaii,Maui County,N/A,1,0
415,US,Idaho,Ada County,N/A,1,0
416,US,Idaho,Bannock County,N/A,1,0
417,US,Idaho,Bear Lake County,N/A,1,0
418,US,Idaho,Benewah County,N/A,1,0
419,US,Idaho,Bingham County,N/A,1,0
420,US,Idaho,Blaine County,N/A,1,0
421,US,Idaho,Boise County,N/A,1,0
422,US,Idaho,Bonner County,N/A,1,0
423,US,Idaho,Bonneville County,N/A,1,0
424,US,Idaho,Boundary County,N/A,1,0
425,US,Idaho,Canyon County,N/A,1,0
426,US,Idaho,Caribou County,N/A,1,0
427,US,Idaho,Cassia County,N/A,1,0
428,US,Idaho,Clearwater County,N/A,1,0
429,US,Idaho,Gem County,N/A,1,0
430,US,Idaho,Gooding County,N/A,1,0
431,US,Idaho,Idaho County,N/A,1,0
432,US,Idaho,Jerome County,N/A,1,0
433,US,Idaho,Kootenai County,N/A,1,0
434,US,Idaho,Latah County,N/A,1,0
435,US,Idaho,Lemhi County,N/A,1,0
436,US,Idaho,Minidoka County,N/A,1,0
437,US,Idaho,Nez Perce County,N/A,1,0
438,US,Idaho,Oneida County,N/A,1,0
439,US,Idaho,Owyhee County,N/A,1,0
440,US,Idaho,Payette County,N/A,1,0
